FAC_STATE,FAC_COUNTY
AK,SKAGWAY MUNICIPALITY
AK,SKAGWAY-HOONAH-ANGOON
AK,SKAGWAY-HOONAH-ANGOON (CA)
AK,SKAGWAY-YAKUTAT-ANGOON
AK,SOUTHEAST FAIRBANKS
AK,SOUTHEAST FAIRBANKS (CA)
AK,SOUTHEAST FAIRBANKS CENSUS AREA
AK,SUMTER
AK,THOMAS
AK,UNDETERMINED
AK,VALDEZ CORDOVA
AK,VALDEZ-CORDOVA
AK,VALDEZ-CORDOVA (CA)
AK,VALDEZ-CORDOVA CENSUS AREA
AK,WADE HAMPTON
AK,WADE HAMPTON (CA)
AK,WADE HAMPTON CENSUS AREA
AK,WRANGELL
AK,WRANGELL CITY AND BOROUGH
AK,WRANGELL PETERSBURG
AK,WRANGELL-PETERSBURG
AK,WRANGELL-PETERSBURG (CA)
AK,YAKUTAT
AK,YAKUTAT CITY AND 
AK,YAKUTAT CITY AND BOROUGH
AK,YUKON KOYUKUK
AK,YUKON-KOYUKUK
AK,YUKON-KOYUKUK (CA)
AK,YUKON-KOYUKUK CENSUS AREA
AL,AUTAUGA
AL,AUTAUGA COUNTY
AL,BALDWIN
AL,BALDWIN COUNTY
AL,BARBOUR
AL,BARBOUR COUNTY
AL,BIBB
AL,BIBB COUNTY
AL,BLOUNT
AL,BLOUNT COUNTY
AL,BULLOCK
AL,BULLOCK COUNTY
AL,BUTLER
AL,BUTLER COUNTY
AL,CALHOUN
AL,CALHOUN COUNTY
AL,CARROLL
AL,CHAMBERS
AL,CHAMBERS COUNTY
AL,CHEROKEE
AL,CHEROKEE COUNTY
AL,CHILTON
AL,CHILTON COUNTY
AL,CHOCTAW
AL,CHOCTAW COUNTY
AL,CLARKE
AL,CLARKE COUNTY
AL,CLAY
AL,CLAY COUNTY
AL,CLEBURNE
AL,CLEBURNE COUNTY
AL,COFFEE
AL,COFFEE COUNTY
AL,COLBERT
AL,COLBERT COUNTY
AL,CONECUH
AL,CONECUH COUNTY
AL,COOSA
AL,COOSA COUNTY
AL,COVINGTON
AL,COVINGTON COUNTY
AL,COWETA
AL,CRENSHAW
AL,CRENSHAW COUNTY
AL,CULLMAN
AL,CULLMAN COUNTY
AL,DADE
AL,DALE
AL,DALE COUNTY
AL,DALLAS
AL,DALLAS COUNTY
AL,DAVIDSON
AL,DE KALB
AL,DEKALB
AL,DEKALB COUNTY
AL,ELMORE
AL,ELMORE COUNTY
AL,ESCAMBIA
AL,ESCAMBIA COUNTY
AL,ETOWAH
AL,ETOWAH COUNTY
AL,FAYETTE
AL,FAYETTE COUNTY
AL,FRANKLIN
AL,FRANKLIN COUNTY
AL,FULTON
AL,GENEVA
AL,GENEVA COUNTY
AL,GREENE
AL,GREENE COUNTY
AL,GWINNETT
AL,HALE
AL,HALE COUNTY
AL,HARALSON COUNTY
AL,HARRIS COUNTY
AL,HENRY
AL,HENRY COUNTY
AL,HOUSTON
AL,HOUSTON COUNTY
AL,INDIAN RIVER
AL,JACKSON
AL,JACKSON COUNTY
AL,JEFFERSON
AL,JEFFERSON COUNTY
AL,JONES COUNTY
AL,LAMAR
AL,LAMAR COUNTY
AL,LAUDERDALE
AL,LAUDERDALE COUNTY
AL,LAWRENCE
AL,LAWRENCE COUNTY
AL,LEE
AL,LEE COUNTY
AL,LIMESTONE
AL,LIMESTONE COUNTY
AL,LINCOLN COUNTY
AL,LOS ANGELES COUNTY
AL,LOUDOUN
AL,LOWNDES
AL,LOWNDES COUNTY
AL,MACON
AL,MACON COUNTY
AL,MADISON
AL,MADISON COUNTY
AL,MARENGO
AL,MARENGO COUNTY
AL,MARION
AL,MARION COUNTY
AL,MARSHALL
AL,MARSHALL COUNTY
AL,MOBILE
AL,MOBILE COUNTY
AL,MONROE
AL,MONROE COUNTY
AL,MONTGOMERY
AL,MONTGOMERY COUNTY
AL,MORGAN
AL,MORGAN COUNTY
AL,NEW YORK COUNTY
AL,PERRY
AL,PERRY COUNTY
AL,PICKENS
AL,PICKENS COUNTY
AL,PIKE
AL,PIKE COUNTY
AL,RANDOLPH
AL,RANDOLPH COUNTY
AL,RUSSELL
AL,RUSSELL COUNTY
AL,RUTHERFORD
AL,SAINT CLAIR
AL,SCOTT
AL,SHELBY
AL,SHELBY COUNTY
AL,ST CLAIR
AL,ST. CLAIR
AL,ST. CLAIR COUNTY
AL,ST. TAMMANY PARISH
AL,SUMTER
AL,SUMTER COUNTY
AL,TALLADEGA
AL,TALLADEGA COUNTY
AL,TALLAPOOSA
AL,TALLAPOOSA COUNTY
AL,TROUP
AL,TUSCALOOSA
AL,TUSCALOOSA COUNTY
AL,UNDETERMINED
AL,WALKER
AL,WALKER COUNTY
AL,WALTON COUNTY
AL,WASHINGTON
AL,WASHINGTON COUNTY
AL,WILCOX
AL,WILCOX COUNTY
AL,WINSTON
AL,WINSTON COUNTY
AR,ARKANSAS
AR,ARKANSAS COUNTY
AR,ASHLEY
AR,ASHLEY COUNTY
AR,BAXTER
AR,BAXTER COUNTY
AR,BENTON
AR,BENTON COUNTY
AR,BOONE
AR,BOONE COUNTY
AR,BRADLEY
AR,BRADLEY COUNTY
AR,CADDO
AR,CALHOUN
AR,CARROLL
AR,CARROLL COUNTY
AR,CHICOT
AR,CLARK
AR,CLARK COUNTY
AR,CLAY
AR,CLAY COUNTY
AR,CLEBURNE
AR,CLEBURNE COUNTY
AR,CLEVELAND
AR,COLE
AR,COLUMBIA
AR,COLUMBIA COUNTY
AR,CONWAY
AR,CONWAY COUNTY
AR,CRAIGHEAD
AR,CRAIGHEAD COUNTY
AR,CRAWFORD
AR,CRAWFORD COUNTY
AR,CRITTENDEN
AR,CRITTENDEN COUNTY
AR,CROSS
AR,CROSS COUNTY
AR,DALLAS
AR,DESHA
AR,DESHA COUNTY
AR,DREW
AR,DREW COUNTY
AR,FAULKNER
AR,FAULKNER COUNTY
AR,FRANKLIN
AR,FRANKLIN COUNTY
AR,FULTON
AR,GARLAND
AR,GARLAND COUNTY
AR,GRANT
AR,GRANT COUNTY
AR,GREENE
AR,GREENE COUNTY
AR,GWINNETT
AR,HEMPSTEAD
AR,HEMPSTEAD COUNTY
AR,HOT SPRING
AR,HOT SPRING COUNTY
AR,HOWARD
AR,HOWARD COUNTY
AR,INDEPENDENCE
AR,INDEPENDENCE COUNTY
AR,IZARD
AR,JACKSON
AR,JACKSON COUNTY
AR,JEFFERSON
AR,JEFFERSON COUNTY
AR,JOHNSON
AR,JOHNSON COUNTY
AR,LAFAYETTE
AR,LAFAYETTE COUNTY
AR,LAWRENCE
AR,LAWRENCE COUNTY
AR,LEE
AR,LINCOLN
AR,LITTLE RIVER
AR,LITTLE RIVER COUNTY
AR,LOGAN
AR,LOGAN COUNTY
AR,LONOKE
AR,LONOKE COUNTY
AR,MADISON
AR,MADISON COUNTY
AR,MARICOPA COUNTY
AR,MARION
AR,MARION COUNTY
AR,MIDLAND
AR,MILLER
AR,MILLER COUNTY
AR,MISSISSIPPI
AR,MISSISSIPPI COUNTY
AR,MONROE
AR,MONTGOMERY
AR,N.E.C.
AR,NEVADA
AR,NEVADA COUNTY
AR,NEWTON
AR,NEWTON COUNTY
AR,OUACHITA
AR,OUACHITA COUNTY
AR,PERRY
AR,PERRY COUNTY
AR,PHILLIPS
AR,PHILLIPS COUNTY
AR,PIKE
AR,PIKE COUNTY
AR,POINSETT
AR,POINSETT COUNTY
AR,POLK
AR,POLK COUNTY
AR,POPE
AR,POPE COUNTY
AR,PORTABLE SOURCE
AR,PRAIRIE
AR,PULASKI
AR,PULASKI COUNTY
AR,RANDOLPH
AR,RANDOLPH COUNTY
AR,S. FRANCIS
AR,SAINT FRANCIS
AR,SALINE
AR,SALINE COUNTY
AR,SCOTT
AR,SCOTT COUNTY
AR,SEARCY
AR,SEARCY COUNTY
AR,SEBASTIAN
AR,SEBASTIAN COUNTY
AR,SEVIER
AR,SEVIER COUNTY
AR,SHARP
AR,SHARP COUNTY
AR,ST FRANCIS
AR,ST. FRANCIS
AR,ST. FRANCIS COUNTY
AR,STONE
AR,TARRANT COUNTY
AR,UNION
AR,UNION COUNTY
AR,VAN BUREN
AR,VAN BUREN COUNTY
AR,WASHINGTON
AR,WASHINGTON COUNTY
AR,WHITE
AR,WHITE COUNTY
AR,WOODRUFF
AR,YELL
AR,YELL COUNTY
AS,AMERICAN SAMOA
AS,EASTERN
AS,MANU'A
AS,OUT-OF-STATE
AS,WESTERN
AT,MONMOUTH
AZ,APACHE
AZ,APACHE COUNTY
AZ,COCHISE
AZ,COCHISE COUNTY
AZ,COCONINO
AZ,COCONINO COUNTY
AZ,EL PASO COUNTY
AZ,GILA
AZ,GILA COUNTY
AZ,GRAHAM
AZ,GRAHAM COUNTY
AZ,GREENLEE
AZ,GREENLEE COUNTY
AZ,LA PAZ
AZ,LA PAZ COUNTY
AZ,LARIMER COUNTY
AZ,MARICOPA
AZ,MARICOPA COUNTY
AZ,MCKINLEY COUNTY
AZ,MOHAVE
AZ,MOHAVE COUNTY
AZ,NAVAJO
AZ,NAVAJO COUNTY
AZ,PIMA
AZ,PIMA COUNTY
AZ,PINAL
AZ,PINAL COUNTY
AZ,PORTABLE SOURCE
AZ,SANTA CRUZ
AZ,SANTA CRUZ COUNTY
AZ,TUCKER
AZ,YAVAPAI
AZ,YAVAPAI COUNTY
AZ,YUMA
AZ,YUMA COUNTY
BC,ALLEGHENY 
CA,ALAMEDA
CA,ALAMEDA COUNTY
CA,ALPINE
CA,ALPINE COUNTY
CA,AMADOR
CA,AMADOR COUNTY
CA,BOONE COUNTY
CA,BUTTE
CA,BUTTE COUNTY
CA,CA059ORANGE
CA,CA075SAN FRANCISCO
CA,CA081SAN MATEO
CA,CALAVERAS
CA,CALAVERAS COUNTY
CA,COLUSA
CA,COLUSA COUNTY
CA,CONTRA COSTA
CA,CONTRA COSTA COUNTY
CA,DEL NORTE
CA,DEL NORTE COUNTY
CA,DENVER COUNTY
CA,DUPAGE COUNTY
CA,EL DORADO
CA,EL DORADO COUNTY
CA,FRESNO
CA,FRESNO COUNTY
CA,GLENN
CA,GLENN COUNTY
CA,HUMBOLDT
CA,HUMBOLDT COUNTY
CA,IMPERIAL
CA,IMPERIAL COUNTY
CA,INYO
CA,INYO COUNTY
CA,KERN
CA,KERN COUNTY
CA,KING COUNTY
CA,KINGS
CA,KINGS COUNTY
CA,LAKE
CA,LAKE COUNTY
CA,LASSEN
CA,LASSEN COUNTY
CA,LOS ANGELES
CA,LOS ANGELES COUNTY
CA,LOS ANGELOS
CA,MADERA
CA,MADERA COUNTY
CA,MARIN
CA,MARIN COUNTY
CA,MARIPOSA
CA,MARIPOSA COUNTY
CA,MENDOCINO
CA,MENDOCINO COUNTY
CA,MERCED
CA,MERCED COUNTY
CA,MODOC
CA,MODOC COUNTY
CA,MONO
CA,MONO COUNTY
CA,MONTEREY
CA,MONTEREY COUNTY
CA,NAPA
CA,NAPA COUNTY
CA,NEVADA
CA,NEVADA COUNTY
CA,ORANGE
CA,ORANGE COUNTY
CA,OUT-OF-STATE
CA,PLACER
CA,PLACER COUNTY
CA,PLUMAS
CA,PLUMAS COUNTY
CA,RIVERSIDE
CA,RIVERSIDE				
CA,RIVERSIDE COUNTY
CA,SACRAMENTO
CA,SACRAMENTO COUNTY
CA,SAN BENITO
CA,SAN BENITO COUNTY
CA,SAN BERNARDINO
CA,SAN BERNARDINO COUNT
CA,SAN BERNARDINO COUNTY
CA,SAN DIEGO
CA,SAN DIEGO COUNTY
CA,SAN FRANCISCO
CA,SAN FRANCISCO COUNTY
CA,SAN JOAQUIN
CA,SAN JOAQUIN COUNTY
CA,SAN LUIS OBISPO
CA,SAN LUIS OBISPO COUN
CA,SAN LUIS OBISPO COUNTY
CA,SAN MATEO
CA,SAN MATEO COUNTY
CA,SANTA BARBARA
CA,SANTA BARBARA COUNTY
CA,SANTA CLARA
CA,SANTA CLARA COUNTY
CA,SANTA CRUZ
CA,SANTA CRUZ COUNTY
CA,SHASTA
CA,SHASTA COUNTY
CA,SIERRA
CA,SIERRA COUNTY
CA,SISKIYOU
CA,SISKIYOU COUNTY
CA,SOLANO
CA,SOLANO COUNTY
CA,SONOMA
CA,SONOMA COUNTY
CA,STANISLAUS
CA,STANISLAUS COUNTY
CA,STOREY COUNTY
CA,SUTTER
CA,SUTTER COUNTY
CA,TEHAMA
CA,TEHAMA COUNTY
CA,TRINITY
CA,TRINITY COUNTY
CA,TULARE
CA,TULARE COUNTY
CA,TUOLUMNE
CA,TUOLUMNE COUNTY
CA,UNITED STATES
CA,VENTURA
CA,VENTURA COUNTY
CA,YOLO
CA,YOLO COUNTY
CA,YUBA
CA,YUBA COUNTY
CN,SAIPAN
CO,ADAMS
CO,ADAMS COUNTY
CO,ALAMOSA
CO,ALAMOSA COUNTY
CO,ANNE ARUNDEL
CO,ARAPAHOE
CO,ARAPAHOE COUNTY
CO,ARCHULETA
CO,ARCHULETA COUNTY
CO,BACA
CO,BACA COUNTY
CO,BENT
CO,BENT COUNTY
CO,BERNALILLO
CO,BOULDER
CO,BOULDER COUNTY
CO,BROOMFIELD
CO,BROOMFIELD COUNTY
CO,BUTLER COUNTY
CO,CHAFFEE
CO,CHAFFEE COUNTY
CO,CHEYENNE
CO,CHEYENNE COUNTY
CO,CLARK COUNTY
CO,CLEAR CREEK
CO,CLEAR CREEK COUNTY
CO,COLLIN 
CO,CONEJOS
CO,COOK COUNTY
CO,COSTILLA
CO,COSTILLA COUNTY
CO,CROWLEY
CO,CROWLEY COUNTY
CO,CUSTER
CO,CUSTER COUNTY
CO,DALLAS
CO,DELTA
CO,DELTA COUNTY
CO,DENVER
CO,DENVER COUNTY
CO,DOLORES
CO,DOLORES COUNTY
CO,DOUGLAS
CO,DOUGLAS COUNTY
CO,DUPLIN COUNTY
CO,EAGLE
CO,EAGLE COUNTY
CO,EL PASO
CO,EL PASO COUNTY
CO,ELBERT
CO,ELBERT COUNTY
CO,FREMONT
CO,FREMONT COUNTY
CO,GARFIELD
CO,GARFIELD COUNTY
CO,GILPIN
CO,GILPIN COUNTY
CO,GRAND
CO,GRAND COUNTY
CO,GUNNISON
CO,GUNNISON COUNTY
CO,HARRIS 
CO,HARRIS COUNTY
CO,HENNEPIN
CO,HINSDALE
CO,HUERFANO
CO,HUERFANO COUNTY
CO,JACKSON
CO,JACKSON COUNTY
CO,JEFFERSON
CO,JEFFERSON COUNTY
CO,KIOWA
CO,KIOWA COUNTY
CO,KIT CARSON
CO,KIT CARSON COUNTY
CO,LA PLATA
CO,LA PLATA COUNTY
CO,LAKE
CO,LAKE COUNTY
CO,LANDER COUNTY
CO,LAPLATA
CO,LARAMIE
CO,LARIMER
CO,LARIMER AND BOULDER
CO,LARIMER COUNTY
CO,LAS ANIMAS
CO,LAS ANIMAS COUNTY
CO,LINCOLN
CO,LINCOLN COUNTY
CO,LOGAN
CO,LOGAN COUNTY
CO,MARICOPA COUNTY
CO,MESA
CO,MESA COUNTY
CO,MINERAL
CO,MOFFAT
CO,MOFFAT COUNTY
CO,MONTEZUMA
CO,MONTEZUMA COUNTY
CO,MONTROSE
CO,MONTROSE COUNTY
CO,MORGAN
CO,MORGAN COUNTY
CO,NATRONA 
CO,NESS
CO,OKLAHOMA
CO,OTERO
CO,OTERO COUNTY
CO,OURAY
CO,OURAY COUNTY
CO,PARK
CO,PARK COUNTY
CO,PHILLIPS
CO,PHILLIPS COUNTY
CO,PITKIN
CO,PITKIN COUNTY
CO,PORTABLE SOURCE
CO,POTTER COUNTY
CO,PROWERS
CO,PROWERS COUNTY
CO,PUEBLO
CO,PUEBLO COUNTY
CO,RACINE
CO,RIO BLANCO
CO,RIO BLANCO COUNTY
CO,RIO GRANDE
CO,RIO GRANDE COUNTY
CO,RIVERSIDE COUNTY
CO,ROUTT
CO,ROUTT COUNTY
CO,SAGUACHE
CO,SAGUACHE COUNTY
CO,SALT LAKE
CO,SAN JUAN
CO,SAN JUAN COUNTY
CO,SAN MIGUEL
CO,SAN MIGUEL COUNTY
CO,SANDOVAL 
CO,SCHENECTADY
CO,SEDGWICK
CO,SEDGWICK COUNTY
CO,STARK
CO,SUMMIT
CO,SUMMIT COUNTY
CO,TELLER
CO,TELLER COUNTY
CO,TULSA
CO,TULSA COUNTY
CO,UINTAH
CO,UNK
CO,VALENCIA
CO,WALLA WALLA 
CO,WASHINGTON
CO,WASHINGTON COUNTY
CO,WAYNE
CO,WELD
CO,WELD COUNTY
CO,WETZEL
CO,YUMA
CO,YUMA COUNTY
CT,DISTRICT OF COLUMBIA
CT,FAIRFIELD
CT,FAIRFIELD COUNTY
CT,HARTFORD
CT,HARTFORD COUNTY
CT,LITCHFIELD
CT,LITCHFIELD COUNTY
CT,MIDDLESEX
CT,MIDDLESEX COUNTY
CT,NEW HAVEN
CT,NEW HAVEN COUNTY
CT,NEW LONDON
CT,NEW LONDON COUNTY
CT,OUT-OF-STATE
CT,PORTABLE SOURCE
CT,PRINCE GEORGE'S COUNTY
CT,TAZEWELL
CT,TOLLAND
CT,TOLLAND COUNTY
CT,WINDHAM
CT,WINDHAM COUNTY
DC,DISTRICT OF COLUMBIA
DC,DISTRICT OF COLUMBIA	
DC,OUT-OF-STATE
DC,PRINCE GEORGES
DC,SCHENECTADY
DC,WASHINGTON
DE,DELAWARE
DE,KENT
DE,KENT COUNTY
DE,NEW CASTLE
DE,NEW CASTLE COUNTY
DE,PORTABLE SOURCE
DE,SUSSEX
DE,SUSSEX COUNTY
DE,UNDETERMINED
DM,HARRIS
DM,ORLEANS
FL,ALACHUA
FL,ALACHUA COUNTY
FL,BAKER
FL,BAKER COUNTY
FL,BAY
FL,BAY COUNTY
FL,BRADFORD
FL,BRADFORD COUNTY
FL,BREVARD
FL,BREVARD COUNTY
FL,BROWARD
FL,BROWARD COUNTY
FL,CALHOUN
FL,CALHOUN COUNTY
FL,CHARLOTTE
FL,CHARLOTTE COUNTY
FL,CITRUS
FL,CITRUS COUNTY
FL,CLAY
FL,CLAY COUNTY
FL,COLLIER
FL,COLLIER COUNTY
FL,COLUMBIA
FL,COLUMBIA COUNTY
FL,DADE
FL,DE SOTO
FL,DESOTO
FL,DESOTO COUNTY
FL,DIXIE
FL,DIXIE COUNTY
FL,DUVAL
FL,DUVAL COUNTY
FL,ESCAMBIA
FL,ESCAMBIA COUNTY
FL,FLAGLER
FL,FLAGLER COUNTY
FL,FRANKLIN
FL,FRANKLIN COUNTY
FL,GADSDEN
FL,GADSDEN COUNTY
FL,GILCHRIST
FL,GILCHRIST COUNTY
FL,GLADES
FL,GLADES COUNTY
FL,GULF
FL,GULF COUNTY
FL,HAMILTON
FL,HAMILTON COUNTY
FL,HARDEE
FL,HARDEE COUNTY
FL,HENDRY
FL,HENDRY COUNTY
FL,HERNANDO
FL,HERNANDO COUNTY
FL,HIGHLANDS
FL,HIGHLANDS COUNTY
FL,HILLS
FL,HILLSBOROUGH
FL,HILLSBOROUGH COUNTY
FL,HOLMES
FL,HOLMES COUNTY
FL,HORRY
FL,INDIAN RIVER
FL,INDIAN RIVER COUNTY
FL,JACKSON
FL,JACKSON COUNTY
FL,JEFFERSON
FL,JEFFERSON COUNTY
FL,KANAWHA
FL,LAFAYETTE
FL,LAFAYETTE COUNTY
FL,LAKE
FL,LAKE COUNTY
FL,LEE
FL,LEE COUNTY
FL,LEON
FL,LEON COUNTY
FL,LEVY
FL,LEVY COUNTY
FL,LIBERTY
FL,LIBERTY COUNTY
FL,LUBBOCK
FL,MADISON
FL,MADISON COUNTY
FL,MANATEE
FL,MANATEE COUNTY
FL,MARION
FL,MARION COUNTY
FL,MARTIN
FL,MARTIN COUNTY
FL,MASON
FL,MIAMI DADE
FL,MIAMI-+++++DADE
FL,MIAMI-DADE
FL,MIAMI-DADE COUNTY
FL,MONROE
FL,MONROE COUNTY
FL,NASSAU
FL,NASSAU COUNTY
FL,NEW YORK
FL,NON-FL CNTY
FL,OKALOOSA
FL,OKALOOSA COUNTY
FL,OKEECHOBEE
FL,OKEECHOBEE COUNTY
FL,ORANGE
FL,ORANGE COUNTY
FL,OSCEOLA
FL,OSCEOLA COUNTY
FL,PALM BEACH
FL,PALM BEACH COUNTY
FL,PASCO
FL,PASCO COUNTY
FL,PINELLAS
FL,PINELLAS COUNTY
FL,POLK
FL,POLK COUNTY
FL,PORTABLE SOURCE
FL,PUTNAM
FL,PUTNAM COUNTY
FL,SAINT JOHNS
FL,SAINT LUCIE
FL,SANTA ROSA
FL,SANTA ROSA COUNTY
FL,SARASOTA
FL,SARASOTA COUNTY
FL,SEMINOLE
FL,SEMINOLE COUNTY
FL,ST JOHNS
FL,ST LUCIE
FL,ST. JOHNS
FL,ST. JOHNS COUNTY
FL,ST. LUCIE
FL,ST. LUCIE COUNTY
FL,SUMTER
FL,SUMTER COUNTY
FL,SUWANNEE
FL,SUWANNEE COUNTY
FL,TAYLOR
FL,TAYLOR COUNTY
FL,TULSA
FL,TUSCALOOSA
FL,UNION
FL,UNION COUNTY
FL,UNKNOWN
FL,VOLUSIA
FL,VOLUSIA COUNTY
FL,WAKULLA
FL,WAKULLA COUNTY
FL,WALTON
FL,WALTON COUNTY
FL,WASHINGTON
FL,WASHINGTON COUNTY
GA,APPLING
GA,APPLING COUNTY
GA,ASHE COUNTY
GA,ATKINSON
GA,ATKINSON COUNTY
GA,BACON
GA,BACON COUNTY
GA,BAKER
GA,BAKER COUNTY
GA,BALDWIN
GA,BALDWIN COUNTY
GA,BANKS
GA,BANKS COUNTY
GA,BARROW
GA,BARROW COUNTY
GA,BARTOW
GA,BARTOW COUNTY
GA,BEN HILL
GA,BEN HILL COUNTY
GA,BERGEN COUNTY
GA,BERRIEN
GA,BERRIEN COUNTY
GA,BIBB
GA,BIBB COUNTY
GA,BLECKLEY 
GA,BLECKLEY COUNTY
GA,BRANTLEY
GA,BRANTLEY COUNTY
GA,BROOKS
GA,BROOKS COUNTY
GA,BRYAN
GA,BRYAN COUNTY
GA,BULLOCH
GA,BULLOCH COUNTY
GA,BURKE
GA,BURKE COUNTY
GA,BUTTS
GA,BUTTS COUNTY
GA,CALHOUN
GA,CALHOUN COUNTY
GA,CAMDEN
GA,CAMDEN COUNTY
GA,CANDLER
GA,CANDLER COUNTY
GA,CARROLL
GA,CARROLL COUNTY
GA,CATOOSA
GA,CATOOSA COUNTY
GA,CHARLTON
GA,CHARLTON COUNTY
GA,CHATHAM
GA,CHATHAM COUNTY
GA,CHATTAHOOCHEE
GA,CHATTAHOOCHEE COUNTY
GA,CHATTOOGA
GA,CHATTOOGA	
GA,CHATTOOGA COUNTY
GA,CHEROKEE
GA,CHEROKEE COUNTY
GA,CLARK COUNTY
GA,CLARKE
GA,CLARKE COUNTY
GA,CLAY
GA,CLAY COUNTY
GA,CLAYTON
GA,CLAYTON COUNTY
GA,CLINCH
GA,CLINCH COUNTY
GA,COBB
GA,COBB COUNTY
GA,COFFEE
GA,COFFEE COUNTY
GA,COLQUITT
GA,COLQUITT COUNTY
GA,COLUMBIA
GA,COLUMBIA COUNTY
GA,COOK
GA,COOK COUNTY
GA,COWETA 
GA,COWETA COUNTY
GA,CRAWFORD
GA,CRAWFORD COUNTY
GA,CRISP
GA,CRISP COUNTY
GA,DADE
GA,DADE COUNTY
GA,DAVIDSON
GA,DAVIDSON COUNTY
GA,DAWSON
GA,DAWSON COUNTY
GA,DE KALB
GA,DECATUR
GA,DECATUR COUNTY
GA,DEKALB
GA,DEKALB COUNTY
GA,DODGE
GA,DODGE COUNTY
GA,DOOLY
GA,DOOLY COUNTY
GA,DOUGHERTY
GA,DOUGHERTY COUNTY
GA,DOUGLAS
GA,DOUGLAS COUNTY
GA,EARLY
GA,EARLY COUNTY
GA,ECHOLS
GA,ECHOLS COUNTY
GA,EFFINGHAM
GA,EFFINGHAM COUNTY
GA,ELBERT
GA,ELBERT COUNTY
GA,EMANUEL
GA,EMANUEL COUNTY
GA,EVANS
GA,EVANS COUNTY
GA,FANNIN
GA,FANNIN COUNTY
GA,FAYETTE
GA,FAYETTE COUNTY
GA,FLOYD
GA,FLOYD COUNTY
GA,FORSYTH
GA,FORSYTH COUNTY
GA,FRANKLIN
GA,FRANKLIN COUNTY
GA,FULTON
GA,FULTON COUNTY
GA,GILMER
GA,GILMER COUNTY
GA,GLASCOCK
GA,GLYNN
GA,GLYNN COUNTY
GA,GORDON
GA,GORDON COUNTY
GA,GRADY
GA,GRADY COUNTY
GA,GREENE
GA,GREENE COUNTY
GA,GREENVILLE COUNTY
GA,GWINNETT
GA,GWINNETT COUNTY
GA,HABERSHAM
GA,HABERSHAM COUNTY
GA,HALL
GA,HALL COUNTY
GA,HANCOCK
GA,HANCOCK COUNTY
GA,HARALSON
GA,HARALSON COUNTY
GA,HARNETT
GA,HARRIS
GA,HARRIS COUNTY
GA,HART
GA,HART COUNTY
GA,HEARD
GA,HEARD COUNTY
GA,HENRY
GA,HENRY COUNTY
GA,HOUSTON
GA,HOUSTON COUNTY
GA,IRWIN
GA,IRWIN COUNTY
GA,JACKSON
GA,JACKSON COUNTY
GA,JASPER
GA,JASPER COUNTY
GA,JEFF DAVIS
GA,JEFF DAVIS COUNTY
GA,JEFFERSON
GA,JEFFERSON COUNTY
