,FAC_STATE,FAC_COUNTY,County
86,AK,SOUTHEAST FAIRBANKS CENSUS AREA,SOUTHEAST FAIRBANKS
87,AK,SUMTER,SUMTER
88,AK,THOMAS,THOMAS
89,AK,UNDETERMINED,UNDETERMINED
90,AK,VALDEZ CORDOVA,VALDEZ-CORDOVA
91,AK,VALDEZ-CORDOVA,VALDEZ-CORDOVA
92,AK,VALDEZ-CORDOVA (CA),VALDEZ-CORDOVA
93,AK,VALDEZ-CORDOVA CENSUS AREA,VALDEZ-CORDOVA
94,AK,WADE HAMPTON,WADE HAMPTON
95,AK,WADE HAMPTON (CA),WADE HAMPTON
96,AK,WADE HAMPTON CENSUS AREA,WADE HAMPTON
97,AK,WRANGELL,WRANGELL
98,AK,WRANGELL CITY AND BOROUGH,WRANGELL
99,AK,WRANGELL PETERSBURG,WRANGELL-PETERSBURG
100,AK,WRANGELL-PETERSBURG,WRANGELL-PETERSBURG
101,AK,WRANGELL-PETERSBURG (CA),WRANGELL-PETERSBURG
102,AK,YAKUTAT,YAKUTAT
103,AK,YAKUTAT CITY AND ,YAKUTAT
104,AK,YAKUTAT CITY AND BOROUGH,YAKUTAT
105,AK,YUKON KOYUKUK,YUKON-KOYUKUK
106,AK,YUKON-KOYUKUK,YUKON-KOYUKUK
107,AK,YUKON-KOYUKUK (CA),YUKON-KOYUKUK
108,AK,YUKON-KOYUKUK CENSUS AREA,YUKON-KOYUKUK
109,AL,AUTAUGA,AUTAUGA
110,AL,AUTAUGA COUNTY,AUTAUGA
111,AL,BALDWIN,BALDWIN
112,AL,BALDWIN COUNTY,BALDWIN
113,AL,BARBOUR,BARBOUR
114,AL,BARBOUR COUNTY,BARBOUR
115,AL,BIBB,BIBB
116,AL,BIBB COUNTY,BIBB
117,AL,BLOUNT,BLOUNT
118,AL,BLOUNT COUNTY,BLOUNT
119,AL,BULLOCK,BULLOCK
120,AL,BULLOCK COUNTY,BULLOCK
121,AL,BUTLER,BUTLER
122,AL,BUTLER COUNTY,BUTLER
123,AL,CALHOUN,CALHOUN
124,AL,CALHOUN COUNTY,CALHOUN
125,AL,CARROLL,CARROLL
126,AL,CHAMBERS,CHAMBERS
127,AL,CHAMBERS COUNTY,CHAMBERS
128,AL,CHEROKEE,CHEROKEE
129,AL,CHEROKEE COUNTY,CHEROKEE
130,AL,CHILTON,CHILTON
131,AL,CHILTON COUNTY,CHILTON
132,AL,CHOCTAW,CHOCTAW
133,AL,CHOCTAW COUNTY,CHOCTAW
134,AL,CLARKE,CLARKE
135,AL,CLARKE COUNTY,CLARKE
136,AL,CLAY,CLAY
137,AL,CLAY COUNTY,CLAY
138,AL,CLEBURNE,CLEBURNE
139,AL,CLEBURNE COUNTY,CLEBURNE
140,AL,COFFEE,COFFEE
141,AL,COFFEE COUNTY,COFFEE
142,AL,COLBERT,COLBERT
143,AL,COLBERT COUNTY,COLBERT
144,AL,CONECUH,CONECUH
145,AL,CONECUH COUNTY,CONECUH
146,AL,COOSA,COOSA
147,AL,COOSA COUNTY,COOSA
148,AL,COVINGTON,COVINGTON
149,AL,COVINGTON COUNTY,COVINGTON
150,AL,COWETA,COWETA
151,AL,CRENSHAW,CRENSHAW
152,AL,CRENSHAW COUNTY,CRENSHAW
153,AL,CULLMAN,CULLMAN
154,AL,CULLMAN COUNTY,CULLMAN
155,AL,DADE,DADE
156,AL,DALE,DALE
157,AL,DALE COUNTY,DALE
158,AL,DALLAS,DALLAS
159,AL,DALLAS COUNTY,DALLAS
160,AL,DAVIDSON,DAVIDSON
161,AL,DE KALB,DE KALB
162,AL,DEKALB,DEKALB
163,AL,DEKALB COUNTY,DEKALB
164,AL,ELMORE,ELMORE
165,AL,ELMORE COUNTY,ELMORE
166,AL,ESCAMBIA,ESCAMBIA
167,AL,ESCAMBIA COUNTY,ESCAMBIA
168,AL,ETOWAH,ETOWAH
169,AL,ETOWAH COUNTY,ETOWAH
170,AL,FAYETTE,FAYETTE
171,AL,FAYETTE COUNTY,FAYETTE
172,AL,FRANKLIN,FRANKLIN
173,AL,FRANKLIN COUNTY,FRANKLIN
174,AL,FULTON,FULTON
175,AL,GENEVA,GENEVA
176,AL,GENEVA COUNTY,GENEVA
177,AL,GREENE,GREENE
178,AL,GREENE COUNTY,GREENE
179,AL,GWINNETT,GWINNETT
180,AL,HALE,HALE
181,AL,HALE COUNTY,HALE
182,AL,HARALSON COUNTY,HARALSON
183,AL,HARRIS COUNTY,HARRIS
184,AL,HENRY,HENRY
185,AL,HENRY COUNTY,HENRY
186,AL,HOUSTON,HOUSTON
187,AL,HOUSTON COUNTY,HOUSTON
188,AL,INDIAN RIVER,INDIAN RIVER
189,AL,JACKSON,JACKSON
190,AL,JACKSON COUNTY,JACKSON
191,AL,JEFFERSON,JEFFERSON
192,AL,JEFFERSON COUNTY,JEFFERSON
193,AL,JONES COUNTY,JONES
194,AL,LAMAR,LAMAR
195,AL,LAMAR COUNTY,LAMAR
196,AL,LAUDERDALE,LAUDERDALE
197,AL,LAUDERDALE COUNTY,LAUDERDALE
198,AL,LAWRENCE,LAWRENCE
199,AL,LAWRENCE COUNTY,LAWRENCE
200,AL,LEE,LEE
201,AL,LEE COUNTY,LEE
202,AL,LIMESTONE,LIMESTONE
203,AL,LIMESTONE COUNTY,LIMESTONE
204,AL,LINCOLN COUNTY,LINCOLN
205,AL,LOS ANGELES COUNTY,LOS ANGELES
206,AL,LOUDOUN,LOUDOUN
207,AL,LOWNDES,LOWNDES
208,AL,LOWNDES COUNTY,LOWNDES
209,AL,MACON,MACON
210,AL,MACON COUNTY,MACON
211,AL,MADISON,MADISON
212,AL,MADISON COUNTY,MADISON
213,AL,MARENGO,MARENGO
214,AL,MARENGO COUNTY,MARENGO
215,AL,MARION,MARION
216,AL,MARION COUNTY,MARION
217,AL,MARSHALL,MARSHALL
218,AL,MARSHALL COUNTY,MARSHALL
219,AL,MOBILE,MOBILE
220,AL,MOBILE COUNTY,MOBILE
221,AL,MONROE,MONROE
222,AL,MONROE COUNTY,MONROE
223,AL,MONTGOMERY,MONTGOMERY
224,AL,MONTGOMERY COUNTY,MONTGOMERY
225,AL,MORGAN,MORGAN
226,AL,MORGAN COUNTY,MORGAN
227,AL,NEW YORK COUNTY,NEW YORK
228,AL,PERRY,PERRY
229,AL,PERRY COUNTY,PERRY
230,AL,PICKENS,PICKENS
231,AL,PICKENS COUNTY,PICKENS
232,AL,PIKE,PIKE
233,AL,PIKE COUNTY,PIKE
234,AL,RANDOLPH,RANDOLPH
235,AL,RANDOLPH COUNTY,RANDOLPH
236,AL,RUSSELL,RUSSELL
237,AL,RUSSELL COUNTY,RUSSELL
238,AL,RUTHERFORD,RUTHERFORD
239,AL,SAINT CLAIR,SAINT CLAIR
240,AL,SCOTT,SCOTT
241,AL,SHELBY,SHELBY
242,AL,SHELBY COUNTY,SHELBY
243,AL,ST CLAIR,ST CLAIR
244,AL,ST. CLAIR,ST. CLAIR
245,AL,ST. CLAIR COUNTY,ST. CLAIR
246,AL,ST. TAMMANY PARISH,ST. TAMMANY
247,AL,SUMTER,SUMTER
248,AL,SUMTER COUNTY,SUMTER
249,AL,TALLADEGA,TALLADEGA
250,AL,TALLADEGA COUNTY,TALLADEGA
251,AL,TALLAPOOSA,TALLAPOOSA
252,AL,TALLAPOOSA COUNTY,TALLAPOOSA
253,AL,TROUP,TROUP
254,AL,TUSCALOOSA,TUSCALOOSA
255,AL,TUSCALOOSA COUNTY,TUSCALOOSA
256,AL,UNDETERMINED,UNDETERMINED
257,AL,WALKER,WALKER
258,AL,WALKER COUNTY,WALKER
259,AL,WALTON COUNTY,WALTON
260,AL,WASHINGTON,WASHINGTON
261,AL,WASHINGTON COUNTY,WASHINGTON
262,AL,WILCOX,WILCOX
263,AL,WILCOX COUNTY,WILCOX
264,AL,WINSTON,WINSTON
265,AL,WINSTON COUNTY,WINSTON
266,AR,ARKANSAS,ARKANSAS
267,AR,ARKANSAS COUNTY,ARKANSAS
268,AR,ASHLEY,ASHLEY
269,AR,ASHLEY COUNTY,ASHLEY
270,AR,BAXTER,BAXTER
271,AR,BAXTER COUNTY,BAXTER
272,AR,BENTON,BENTON
273,AR,BENTON COUNTY,BENTON
274,AR,BOONE,BOONE
275,AR,BOONE COUNTY,BOONE
276,AR,BRADLEY,BRADLEY
277,AR,BRADLEY COUNTY,BRADLEY
278,AR,CADDO,CADDO
279,AR,CALHOUN,CALHOUN
280,AR,CARROLL,CARROLL
281,AR,CARROLL COUNTY,CARROLL
282,AR,CHICOT,CHICOT
283,AR,CLARK,CLARK
284,AR,CLARK COUNTY,CLARK
285,AR,CLAY,CLAY
286,AR,CLAY COUNTY,CLAY
287,AR,CLEBURNE,CLEBURNE
288,AR,CLEBURNE COUNTY,CLEBURNE
289,AR,CLEVELAND,CLEVELAND
290,AR,COLE,COLE
291,AR,COLUMBIA,COLUMBIA
292,AR,COLUMBIA COUNTY,COLUMBIA
293,AR,CONWAY,CONWAY
294,AR,CONWAY COUNTY,CONWAY
295,AR,CRAIGHEAD,CRAIGHEAD
296,AR,CRAIGHEAD COUNTY,CRAIGHEAD
297,AR,CRAWFORD,CRAWFORD
298,AR,CRAWFORD COUNTY,CRAWFORD
299,AR,CRITTENDEN,CRITTENDEN
300,AR,CRITTENDEN COUNTY,CRITTENDEN
301,AR,CROSS,CROSS
302,AR,CROSS COUNTY,CROSS
303,AR,DALLAS,DALLAS
304,AR,DESHA,DESHA
305,AR,DESHA COUNTY,DESHA
306,AR,DREW,DREW
307,AR,DREW COUNTY,DREW
308,AR,FAULKNER,FAULKNER
309,AR,FAULKNER COUNTY,FAULKNER
310,AR,FRANKLIN,FRANKLIN
311,AR,FRANKLIN COUNTY,FRANKLIN
312,AR,FULTON,FULTON
313,AR,GARLAND,GARLAND
314,AR,GARLAND COUNTY,GARLAND
315,AR,GRANT,GRANT
316,AR,GRANT COUNTY,GRANT
317,AR,GREENE,GREENE
318,AR,GREENE COUNTY,GREENE
319,AR,GWINNETT,GWINNETT
320,AR,HEMPSTEAD,HEMPSTEAD
321,AR,HEMPSTEAD COUNTY,HEMPSTEAD
322,AR,HOT SPRING,HOT SPRING
323,AR,HOT SPRING COUNTY,HOT SPRING
324,AR,HOWARD,HOWARD
325,AR,HOWARD COUNTY,HOWARD
326,AR,INDEPENDENCE,INDEPENDENCE
327,AR,INDEPENDENCE COUNTY,INDEPENDENCE
328,AR,IZARD,IZARD
329,AR,JACKSON,JACKSON
330,AR,JACKSON COUNTY,JACKSON
331,AR,JEFFERSON,JEFFERSON
332,AR,JEFFERSON COUNTY,JEFFERSON
333,AR,JOHNSON,JOHNSON
334,AR,JOHNSON COUNTY,JOHNSON
335,AR,LAFAYETTE,LAFAYETTE
336,AR,LAFAYETTE COUNTY,LAFAYETTE
337,AR,LAWRENCE,LAWRENCE
338,AR,LAWRENCE COUNTY,LAWRENCE
339,AR,LEE,LEE
340,AR,LINCOLN,LINCOLN
341,AR,LITTLE RIVER,LITTLE RIVER
342,AR,LITTLE RIVER COUNTY,LITTLE RIVER
343,AR,LOGAN,LOGAN
344,AR,LOGAN COUNTY,LOGAN
345,AR,LONOKE,LONOKE
346,AR,LONOKE COUNTY,LONOKE
347,AR,MADISON,MADISON
348,AR,MADISON COUNTY,MADISON
349,AR,MARICOPA COUNTY,MARICOPA
350,AR,MARION,MARION
351,AR,MARION COUNTY,MARION
352,AR,MIDLAND,MIDLAND
353,AR,MILLER,MILLER
354,AR,MILLER COUNTY,MILLER
355,AR,MISSISSIPPI,MISSISSIPPI
356,AR,MISSISSIPPI COUNTY,MISSISSIPPI
357,AR,MONROE,MONROE
358,AR,MONTGOMERY,MONTGOMERY
359,AR,N.E.C.,N.E.C.
360,AR,NEVADA,NEVADA
361,AR,NEVADA COUNTY,NEVADA
362,AR,NEWTON,NEWTON
363,AR,NEWTON COUNTY,NEWTON
364,AR,OUACHITA,OUACHITA
365,AR,OUACHITA COUNTY,OUACHITA
366,AR,PERRY,PERRY
367,AR,PERRY COUNTY,PERRY
368,AR,PHILLIPS,PHILLIPS
369,AR,PHILLIPS COUNTY,PHILLIPS
370,AR,PIKE,PIKE
371,AR,PIKE COUNTY,PIKE
372,AR,POINSETT,POINSETT
373,AR,POINSETT COUNTY,POINSETT
374,AR,POLK,POLK
375,AR,POLK COUNTY,POLK
376,AR,POPE,POPE
377,AR,POPE COUNTY,POPE
378,AR,PORTABLE SOURCE,PORTABLE SOURCE
379,AR,PRAIRIE,PRAIRIE
380,AR,PULASKI,PULASKI
381,AR,PULASKI COUNTY,PULASKI
382,AR,RANDOLPH,RANDOLPH
383,AR,RANDOLPH COUNTY,RANDOLPH
384,AR,S. FRANCIS,S. FRANCIS
385,AR,SAINT FRANCIS,SAINT FRANCIS
386,AR,SALINE,SALINE
387,AR,SALINE COUNTY,SALINE
388,AR,SCOTT,SCOTT
389,AR,SCOTT COUNTY,SCOTT
390,AR,SEARCY,SEARCY
391,AR,SEARCY COUNTY,SEARCY
392,AR,SEBASTIAN,SEBASTIAN
393,AR,SEBASTIAN COUNTY,SEBASTIAN
394,AR,SEVIER,SEVIER
395,AR,SEVIER COUNTY,SEVIER
396,AR,SHARP,SHARP
397,AR,SHARP COUNTY,SHARP
398,AR,ST FRANCIS,ST FRANCIS
399,AR,ST. FRANCIS,ST. FRANCIS
400,AR,ST. FRANCIS COUNTY,ST. FRANCIS
401,AR,STONE,STONE
402,AR,TARRANT COUNTY,TARRANT
403,AR,UNION,UNION
404,AR,UNION COUNTY,UNION
405,AR,VAN BUREN,VAN BUREN
406,AR,VAN BUREN COUNTY,VAN BUREN
407,AR,WASHINGTON,WASHINGTON
408,AR,WASHINGTON COUNTY,WASHINGTON
409,AR,WHITE,WHITE
410,AR,WHITE COUNTY,WHITE
411,AR,WOODRUFF,WOODRUFF
412,AR,YELL,YELL
413,AR,YELL COUNTY,YELL
414,AS,AMERICAN SAMOA,AMERICAN SAMOA
415,AS,EASTERN,EASTERN
416,AS,MANU''A,MANU''A
417,AS,OUT-OF-STATE,OUT-OF-STATE
418,AS,WESTERN,WESTERN
419,AT,MONMOUTH,MONMOUTH
420,AZ,APACHE,APACHE
421,AZ,APACHE COUNTY,APACHE
422,AZ,COCHISE,COCHISE
423,AZ,COCHISE COUNTY,COCHISE
424,AZ,COCONINO,COCONINO
425,AZ,COCONINO COUNTY,COCONINO
426,AZ,EL PASO COUNTY,EL PASO
427,AZ,GILA,GILA
428,AZ,GILA COUNTY,GILA
429,AZ,GRAHAM,GRAHAM
430,AZ,GRAHAM COUNTY,GRAHAM
431,AZ,GREENLEE,GREENLEE
432,AZ,GREENLEE COUNTY,GREENLEE
433,AZ,LA PAZ,LA PAZ
434,AZ,LA PAZ COUNTY,LA PAZ
435,AZ,LARIMER COUNTY,LARIMER
436,AZ,MARICOPA,MARICOPA
437,AZ,MARICOPA COUNTY,MARICOPA
438,AZ,MCKINLEY COUNTY,MCKINLEY
439,AZ,MOHAVE,MOHAVE
440,AZ,MOHAVE COUNTY,MOHAVE
441,AZ,NAVAJO,NAVAJO
442,AZ,NAVAJO COUNTY,NAVAJO
443,AZ,PIMA,PIMA
444,AZ,PIMA COUNTY,PIMA
445,AZ,PINAL,PINAL
446,AZ,PINAL COUNTY,PINAL
447,AZ,PORTABLE SOURCE,PORTABLE SOURCE
448,AZ,SANTA CRUZ,SANTA CRUZ
449,AZ,SANTA CRUZ COUNTY,SANTA CRUZ
450,AZ,TUCKER,TUCKER
451,AZ,YAVAPAI,YAVAPAI
452,AZ,YAVAPAI COUNTY,YAVAPAI
453,AZ,YUMA,YUMA
454,AZ,YUMA COUNTY,YUMA
455,BC,ALLEGHENY ,ALLEGHENY
456,CA,ALAMEDA,ALAMEDA
457,CA,ALAMEDA COUNTY,ALAMEDA
458,CA,ALPINE,ALPINE
459,CA,ALPINE COUNTY,ALPINE
460,CA,AMADOR,AMADOR
461,CA,AMADOR COUNTY,AMADOR
462,CA,BOONE COUNTY,BOONE
463,CA,BUTTE,BUTTE
464,CA,BUTTE COUNTY,BUTTE
465,CA,CA059ORANGE,CA059ORANGE
466,CA,CA075SAN FRANCISCO,CA075SAN FRANCISCO
467,CA,CA081SAN MATEO,CA081SAN MATEO
468,CA,CALAVERAS,CALAVERAS
469,CA,CALAVERAS COUNTY,CALAVERAS
470,CA,COLUSA,COLUSA
471,CA,COLUSA COUNTY,COLUSA
472,CA,CONTRA COSTA,CONTRA COSTA
473,CA,CONTRA COSTA COUNTY,CONTRA COSTA
474,CA,DEL NORTE,DEL NORTE
475,CA,DEL NORTE COUNTY,DEL NORTE
476,CA,DENVER COUNTY,DENVER
477,CA,DUPAGE COUNTY,DUPAGE
478,CA,EL DORADO,EL DORADO
479,CA,EL DORADO COUNTY,EL DORADO
480,CA,FRESNO,FRESNO
481,CA,FRESNO COUNTY,FRESNO
482,CA,GLENN,GLENN
483,CA,GLENN COUNTY,GLENN
484,CA,HUMBOLDT,HUMBOLDT
485,CA,HUMBOLDT COUNTY,HUMBOLDT
486,CA,IMPERIAL,IMPERIAL
487,CA,IMPERIAL COUNTY,IMPERIAL
488,CA,INYO,INYO
489,CA,INYO COUNTY,INYO
490,CA,KERN,KERN
491,CA,KERN COUNTY,KERN
492,CA,KING COUNTY,KING
493,CA,KINGS,KINGS
494,CA,KINGS COUNTY,KINGS
495,CA,LAKE,LAKE
496,CA,LAKE COUNTY,LAKE
497,CA,LASSEN,LASSEN
498,CA,LASSEN COUNTY,LASSEN
499,CA,LOS ANGELES,LOS ANGELES
500,CA,LOS ANGELES COUNTY,LOS ANGELES
501,CA,LOS ANGELOS,LOS ANGELES
502,CA,MADERA,MADERA
503,CA,MADERA COUNTY,MADERA
504,CA,MARIN,MARIN
505,CA,MARIN COUNTY,MARIN
506,CA,MARIPOSA,MARIPOSA
507,CA,MARIPOSA COUNTY,MARIPOSA
508,CA,MENDOCINO,MENDOCINO
509,CA,MENDOCINO COUNTY,MENDOCINO
510,CA,MERCED,MERCED
511,CA,MERCED COUNTY,MERCED
512,CA,MODOC,MODOC
513,CA,MODOC COUNTY,MODOC
514,CA,MONO,MONO
515,CA,MONO COUNTY,MONO
516,CA,MONTEREY,MONTEREY
517,CA,MONTEREY COUNTY,MONTEREY
518,CA,NAPA,NAPA
519,CA,NAPA COUNTY,NAPA
520,CA,NEVADA,NEVADA
521,CA,NEVADA COUNTY,NEVADA
522,CA,ORANGE,ORANGE
523,CA,ORANGE COUNTY,ORANGE
524,CA,OUT-OF-STATE,OUT-OF-STATE
525,CA,PLACER,PLACER
526,CA,PLACER COUNTY,PLACER
527,CA,PLUMAS,PLUMAS
528,CA,PLUMAS COUNTY,PLUMAS
529,CA,RIVERSIDE,RIVERSIDE
530,CA,RIVERSIDE,RIVERSIDE
531,CA,RIVERSIDE COUNTY,RIVERSIDE
532,CA,SACRAMENTO,SACRAMENTO
533,CA,SACRAMENTO COUNTY,SACRAMENTO
534,CA,SAN BENITO,SAN BENITO
535,CA,SAN BENITO COUNTY,SAN BENITO
536,CA,SAN BERNARDINO,SAN BERNARDINO
537,CA,SAN BERNARDINO COUNT,SAN BERNARDINO
538,CA,SAN BERNARDINO COUNTY,SAN BERNARDINO
539,CA,SAN DIEGO,SAN DIEGO
540,CA,SAN DIEGO COUNTY,SAN DIEGO
541,CA,SAN FRANCISCO,SAN FRANCISCO
542,CA,SAN FRANCISCO COUNTY,SAN FRANCISCO
543,CA,SAN JOAQUIN,SAN JOAQUIN
544,CA,SAN JOAQUIN COUNTY,SAN JOAQUIN
545,CA,SAN LUIS OBISPO,SAN LUIS OBISPO
546,CA,SAN LUIS OBISPO COUN,SAN LUIS OBISPO
547,CA,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO
548,CA,SAN MATEO,SAN MATEO
549,CA,SAN MATEO COUNTY,SAN MATEO
550,CA,SANTA BARBARA,SANTA BARBARA
551,CA,SANTA BARBARA COUNTY,SANTA BARBARA
552,CA,SANTA CLARA,SANTA CLARA
553,CA,SANTA CLARA COUNTY,SANTA CLARA
554,CA,SANTA CRUZ,SANTA CRUZ
555,CA,SANTA CRUZ COUNTY,SANTA CRUZ
556,CA,SHASTA,SHASTA
557,CA,SHASTA COUNTY,SHASTA
558,CA,SIERRA,SIERRA
559,CA,SIERRA COUNTY,SIERRA
560,CA,SISKIYOU,SISKIYOU
561,CA,SISKIYOU COUNTY,SISKIYOU
562,CA,SOLANO,SOLANO
563,CA,SOLANO COUNTY,SOLANO
564,CA,SONOMA,SONOMA
565,CA,SONOMA COUNTY,SONOMA
566,CA,STANISLAUS,STANISLAUS
567,CA,STANISLAUS COUNTY,STANISLAUS
568,CA,STOREY COUNTY,STOREY
569,CA,SUTTER,SUTTER
570,CA,SUTTER COUNTY,SUTTER
571,CA,TEHAMA,TEHAMA
572,CA,TEHAMA COUNTY,TEHAMA
573,CA,TRINITY,TRINITY
574,CA,TRINITY COUNTY,TRINITY
575,CA,TULARE,TULARE
576,CA,TULARE COUNTY,TULARE
577,CA,TUOLUMNE,TUOLUMNE
578,CA,TUOLUMNE COUNTY,TUOLUMNE
579,CA,UNITED STATES,UNITED STATES
580,CA,VENTURA,VENTURA
581,CA,VENTURA COUNTY,VENTURA
582,CA,YOLO,YOLO
583,CA,YOLO COUNTY,YOLO
584,CA,YUBA,YUBA
585,CA,YUBA COUNTY,YUBA
586,CN,SAIPAN,SAIPAN
587,CO,ADAMS,ADAMS
588,CO,ADAMS COUNTY,ADAMS
589,CO,ALAMOSA,ALAMOSA
590,CO,ALAMOSA COUNTY,ALAMOSA
591,CO,ANNE ARUNDEL,ANNE ARUNDEL
592,CO,ARAPAHOE,ARAPAHOE
593,CO,ARAPAHOE COUNTY,ARAPAHOE
594,CO,ARCHULETA,ARCHULETA
595,CO,ARCHULETA COUNTY,ARCHULETA
596,CO,BACA,BACA
597,CO,BACA COUNTY,BACA
598,CO,BENT,BENT
599,CO,BENT COUNTY,BENT
600,CO,BERNALILLO,BERNALILLO
601,CO,BOULDER,BOULDER
602,CO,BOULDER COUNTY,BOULDER
603,CO,BROOMFIELD,BROOMFIELD
604,CO,BROOMFIELD COUNTY,BROOMFIELD
605,CO,BUTLER COUNTY,BUTLER
606,CO,CHAFFEE,CHAFFEE
607,CO,CHAFFEE COUNTY,CHAFFEE
608,CO,CHEYENNE,CHEYENNE
609,CO,CHEYENNE COUNTY,CHEYENNE
610,CO,CLARK COUNTY,CLARK
611,CO,CLEAR CREEK,CLEAR CREEK
612,CO,CLEAR CREEK COUNTY,CLEAR CREEK
613,CO,COLLIN ,COLLIN
614,CO,CONEJOS,CONEJOS
615,CO,COOK COUNTY,COOK
616,CO,COSTILLA,COSTILLA
617,CO,COSTILLA COUNTY,COSTILLA
618,CO,CROWLEY,CROWLEY
619,CO,CROWLEY COUNTY,CROWLEY
